2;;;5;"S. Agathae, virginis et martyris";"Mémoire obligatoire";"Rouge";10;;;;;;;;;;
2;;;6;"Ss Pauli Miki et sociorum, martyrum";"Mémoire obligatoire";"Rouge";10;;;;;;;;;;
2;;;7;;;;;;;;;;;;;;
2;;;8;"S. Hieronymi Emiliani";"Mémoire facultative";;;;;;;;;;;;
2;;;8;"S. Iosephinae Bakhita, virginis";"Mémoire facultative";;;;;;;;;;;;
2;;;9;;;;;;;;;;;;;;
2;;;10;"S. Scholasticae, virginis";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
2;;;11;"B. Mariae Virginis de Lourdes";"Mémoire facultative";;;;;;;;;;;;
2;;;12;;;;;;;;;;;;;;
2;;;13;;;;;;;;;;;;;;
2;;;14;"Ss. Cyrilli, monachi, et Methodii, episcopi";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
2;;;15;;;;;;;;;;;;;;
2;;;16;;;;;;;;;;;;;;
2;;;17;"Ss. septem Fundatorum Ordinis Servorum B. M. V.";"Mémoire facultative";;;;;;;;;;;;
2;;;18;;;;;;;;;;;;;;
2;;;19;;;;;;;;;;;;;;
2;;;20;;;;;;;;;;;;;;
2;;;21;"S. Petri Damiani, episcopi et Ecclesiae doctoris";"Mémoire facultative";;;;;;;;;;;;
2;;;22;"Cathedrae S. Petri, apostoli";"Fête";"Blanc";7;;;;;;;;;;
2;;;23;"S. Polycarpi, episcopi et martyris";"Mémoire obligatoire";"Rouge";10;;;;;;;;;;
2;;;24;;;;;;;;;;;;;;
2;;;25;;;;;;;;;;;;;;
2;;;26;;;;;;;;;;;;;;
2;;;27;;;;;;;;;;;;;;
2;;;28;;;;;;;;;;;;;;
3;;;1;;;;;;;;;;;;;;
3;;;2;;;;;;;;;;;;;;
3;;;3;;;;;;;;;;;;;;
3;;;4;"S. Casimiri";"Mémoire facultative";;;;;;;;;;;;
3;;;5;;;;;;;;;;;;;;
3;;;6;;;;;;;;;;;;;;
3;;;7;"Ss. Perpetuae et Felicitatis, martyrum";"Mémoire obligatoire";"Rouge";10;;;;;;;;;;
3;;;8;"S. Ioannis a Deo, religiosi";"Mémoire facultative";;;;;;;;;;;;
3;;;9;"S. Franciscae Romanae, religiosae";"Mémoire facultative";;;;;;;;;;;;
3;;;10;;;;;;;;;;;;;;
3;;;11;;;;;;;;;;;;;;
3;;;12;;;;;;;;;;;;;;
3;;;13;;;;;;;;;;;;;;
3;;;14;;;;;;;;;;;;;;
3;;;15;;;;;;;;;;;;;;
3;;;16;;;;;;;;;;;;;;
3;;;17;"S. Patricii, episcopi";"Mémoire facultative";;;;;;;;;;;;
3;;;18;"S. Cyrilli Hierosolymitani, episcopi et Ecclesiae doctoris";"Mémoire facultative";;;;;;;;;;;;
3;;;19;"S. IOSEPH, SPONSI B. M. V.";"Solennité";"Blanc";4;;;;;;;;;;
3;;;20;;;;;;;;;;;;;;
3;;;21;;;;;;;;;;;;;;
3;;;22;;;;;;;;;;;;;;
3;;;23;"S. Turibii de Mongrovejo, episcopi";"Mémoire facultative";;;;;;;;;;;;
3;;;24;;;;;;;;;;;;;;
3;;;25;"IN ANNUNTIATIONE DOMINI";"Solennité";"Blanc";3;;;;;;;;;;
3;;;26;;;;;;;;;;;;;;
3;;;27;;;;;;;;;;;;;;
3;;;28;;;;;;;;;;;;;;
3;;;29;;;;;;;;;;;;;;
3;;;30;;;;;;;;;;;;;;
3;;;31;;;;;;;;;;;;;;
4;;;1;;;;;;;;;;;;;;
4;;;2;"S. Francisci de Paola, eremitae";"Mémoire facultative";;;;;;;;;;;;
4;;;3;;;;;;;;;;;;;;
4;;;4;"S. Isidori, episcopi et Ecclesiae doctoris";"Mémoire facultative";;;;;;;;;;;;
4;;;5;"S. Vincentii Ferrer, presbyteri";"Mémoire facultative";;;;;;;;;;;;
4;;;6;;;;;;;;;;;;;;
4;;;7;"S. Ioannis Baptistae de la Salle, presbyteri";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
4;;;8;;;;;;;;;;;;;;
4;;;9;;;;;;;;;;;;;;
4;;;10;;;;;;;;;;;;;;
4;;;11;"S. Stanislai, episcopi et martyris";"Mémoire obligatoire";"Rouge";10;;;;;;;;;;
4;;;12;;;;;;;;;;;;;;
4;;;13;"S. Martini I, papae et martyris";"Mémoire facultative";;;;;;;;;;;;
4;;;14;;;;;;;;;;;;;;
4;;;15;;;;;;;;;;;;;;
4;;;16;;;;;;;;;;;;;;
4;;;17;;;;;;;;;;;;;;
4;;;18;;;;;;;;;;;;;;
4;;;19;;;;;;;;;;;;;;
4;;;20;;;;;;;;;;;;;;
4;;;21;"S. Anselmi, episcopi et Ecclesiae doctoris";"Mémoire facultative";;;;;;;;;;;;
4;;;22;;;;;;;;;;;;;;
4;;;23;"S. Georgii, martyris";"Mémoire facultative";;;;;;;;;;;;
4;;;;"S. Adalberti, episcopi et martyris";"Mémoire facultative";;;;;;;;;;;;
4;;;24;"S. Fidelis a Sigmaringen, presbyteri et martyris";"Mémoire facultative";;;;;;;;;;;;
4;;;25;"S. Marci, evangelistae";"Fête";"Rouge";7;;;;;;;;;;
4;;;26;;;;;;;;;;;;;;
4;;;27;;;;;;;;;;;;;;
4;;;28;"S. Petri Chanel, presbyteri et martyris";"Mémoire facultative";;;;;;;;;;;;
4;;;;"S. Ludovici Mariae Grignion de Montfort, presbyteri";"Mémoire facultative";;;;;;;;;;;;
4;;;29;"S. Catharinae Senensis, virginis et Ecclesiae doctoris";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
4;;;30;"S. Pii V, papae";"Mémoire facultative";;;;;;;;;;;;
5;;;1;"S. Ioseph Opificis";"Mémoire facultative";;;;;;;;;;;;
5;;;2;"S. Athanasii, episcopi et Ecclesiae doctoris";"Mémoire obligatoire";"Blanc";10;;;;;;;;;;
5;;;3;"Ss. Philippi et Iacobi, apostolorum";"Fête";"Rouge";7;;;;;;;;;;
5;;;4;;;;;;;;;;;;;;
5;;;5;;;;;;;;;;;;;;
5;;;6;;;;;;;;;;;;;;
5;;;7;;;;;;;;;;;;;;
5;;;8;;;;;;;;;;;;;;
5;;;9;;;;;;;;;;;;;;
5;;;10;;;;;;;;;;;;;;
5;;;11;;;;;;;;;;;;;;
5;;;12;"Ss. Nerei et Achillei, martyrum";"Mémoire facultative";;;;;;;;;;;;
5;;;12;"S. Pancratii, martyris";"Mémoire facultative";;;;;;;;;;;;
